"","Prior","TVJ","Expert_aud","Participant"
"1",0.37,0,0,1
"2",0.42,0,0,1
"3",0.43,1,0,1
"4",0.36,0,0,1
"5",0.71,1,0,1
"6",0.43,0,0,1
"7",0.29,0,0,1
"8",0.29,0,0,1
"9",0.83,1,0,1
"10",0.66,1,0,1
"11",0.65,0,0,1
"12",0.25,0,0,1
"13",0.7,1,1,2
"14",0.3,0,1,2
"15",0.59,1,1,2
"16",0.79,1,1,2
"17",0.44,0,1,2
"18",0.31,0,1,2
"19",0.44,0,1,2
"20",0.57,1,1,2
"21",0.67,1,1,2
"22",0.27,0,1,2
"23",0.42,0,1,2
"24",0.49,0,1,2
"25",0.37,1,1,3
"26",0.15,0,1,3
"27",0.09,0,1,3
"28",0.68,1,1,3
"29",0.23,0,1,3
"30",0.56,1,1,3
"31",0.25,0,1,3
"32",0.39,0,1,3
"33",0.11,0,1,3
"34",0.41,1,1,3
"35",0.12,0,1,3
"36",0.54,1,1,3
"37",0.35,0,0,4
"38",0.4,0,0,4
"39",0.2,0,0,4
"40",0.6,1,0,4
"41",0.65,1,0,4
"42",0.3,0,0,4
"43",0.6,1,0,4
"44",0.7,1,0,4
"45",0.3,0,0,4
"46",0.4,0,0,4
"47",0.2,0,0,4
"48",0.6,1,0,4
"49",0.45,0,0,5
"50",0.4,0,0,5
"51",0.55,1,0,5
"52",0.3,0,0,5
"53",0.35,0,0,5
"54",0.45,0,0,5
"55",0.65,1,0,5
"56",0.4,0,0,5
"57",0.5,0,0,5
"58",0.35,0,0,5
"59",0.7,1,0,5
"60",0.75,1,0,5
"61",0.15,0,0,6
"62",0.62,0,0,6
"63",0.84,1,0,6
"64",0.93,1,0,6
"65",0.7,1,0,6
"66",0.57,1,0,6
"67",0.67,1,0,6
"68",0.68,1,0,6
"69",0.69,1,0,6
"70",0.17,0,0,6
"71",0.53,1,0,6
"72",0.51,0,0,6
"73",0.37,0,1,7
"74",0.6,1,1,7
"75",0.25,0,1,7
"76",0.64,0,1,7
"77",0.39,0,1,7
"78",0.63,1,1,7
"79",0.42,0,1,7
"80",0.45,1,1,7
"81",0.43,0,1,7
"82",0.33,0,1,7
"83",0.42,0,1,7
"84",0.62,0,1,7
"85",0.44,0,1,8
"86",0.67,1,1,8
"87",0.27,0,1,8
"88",0.35,0,1,8
"89",0.86,1,1,8
"90",0.71,1,1,8
"91",0.1,0,1,8
"92",0.32,0,1,8
"93",0.7,1,1,8
"94",0.14,0,1,8
"95",0.42,0,1,8
"96",0.13,0,1,8
"97",0.8,1,0,9
"98",0.22,0,0,9
"99",0.38,0,0,9
"100",0.44,0,0,9
"101",0.41,0,0,9
"102",0.25,0,0,9
"103",0.2,0,0,9
"104",0.44,0,0,9
"105",0.47,0,0,9
"106",0.98,1,0,9
"107",0.44,0,0,9
"108",0.91,1,0,9
"109",0.56,1,1,10
"110",0.39,0,1,10
"111",0.59,1,1,10
"112",0.54,1,1,10
"113",0.44,1,1,10
"114",0.53,1,1,10
"115",0.45,0,1,10
"116",0.52,1,1,10
"117",0.48,0,1,10
"118",0.5,0,1,10
"119",0.46,0,1,10
"120",0.55,0,1,10
"121",0.57,0,1,11
"122",0.7,1,1,11
"123",0.81,1,1,11
"124",0.62,1,1,11
"125",0.54,1,1,11
"126",0.68,1,1,11
"127",0.64,1,1,11
"128",0.55,0,1,11
"129",0.62,0,1,11
"130",0.54,1,1,11
"131",0.6,1,1,11
"132",0.53,1,1,11
"133",0.09,0,0,12
"134",0.08,0,0,12
"135",0.53,0,0,12
"136",0.5,0,0,12
"137",0.03,0,0,12
"138",0.71,1,0,12
"139",0.1,0,0,12
"140",0.78,1,0,12
"141",0.73,1,0,12
"142",0.7,1,0,12
"143",0.73,1,0,12
"144",0.54,0,0,12
"145",0.3,0,0,13
"146",0.55,1,0,13
"147",0.8,1,0,13
"148",0.25,0,0,13
"149",0.75,1,0,13
"150",0.15,0,0,13
"151",0.85,1,0,13
"152",0.45,0,0,13
"153",0.05,0,0,13
"154",0.95,1,0,13
"155",0.8,1,0,13
"156",0.2,0,0,13
"157",0.6,0,1,14
"158",0.8,1,1,14
"159",0.75,1,1,14
"160",0.24,0,1,14
"161",0.11,0,1,14
"162",0.18,0,1,14
"163",0.63,1,1,14
"164",0.46,0,1,14
"165",0.38,1,1,14
"166",0.86,1,1,14
"167",0.51,0,1,14
"168",0.15,0,1,14
"169",0.4,0,1,15
"170",0.66,1,1,15
"171",0.81,1,1,15
"172",0.46,0,1,15
"173",0.56,1,1,15
"174",0.4,0,1,15
"175",0.69,1,1,15
"176",0.5,0,1,15
"177",0.11,0,1,15
"178",0.31,0,1,15
"179",0.44,0,1,15
"180",0.57,1,1,15
"181",0.59,0,0,16
"182",0.73,0,0,16
"183",0.77,1,0,16
"184",0.38,0,0,16
"185",0.52,0,0,16
"186",0.54,1,0,16
"187",0.72,1,0,16
"188",0.48,0,0,16
"189",0.7,1,0,16
"190",0.79,0,0,16
"191",0.65,1,0,16
"192",0.76,1,0,16
"193",0.37,0,0,17
"194",0.83,1,0,17
"195",0.1,0,0,17
"196",0.7,1,0,17
"197",0.29,0,0,17
"198",0.16,0,0,17
"199",0.73,1,0,17
"200",0.61,0,0,17
"201",0.17,0,0,17
"202",0.37,1,0,17
"203",0.6,1,0,17
"204",0.66,1,0,17
"205",0.8,1,0,18
"206",0.64,0,0,18
"207",0.34,0,0,18
"208",0.36,0,0,18
"209",0.66,1,0,18
"210",0.24,0,0,18
"211",0.5,0,0,18
"212",0.86,1,0,18
"213",0.56,0,0,18
"214",0.34,0,0,18
"215",0.41,0,0,18
"216",0.68,1,0,18
"217",0.15,0,0,19
"218",0.14,0,0,19
"219",0.51,1,0,19
"220",0.62,1,0,19
"221",0.59,1,0,19
"222",0.46,1,0,19
"223",0.33,0,0,19
"224",0.29,0,0,19
"225",0.15,0,0,19
"226",0.51,1,0,19
"227",0.43,0,0,19
"228",0.68,1,0,19
"229",0.41,0,0,20
"230",0.15,0,0,20
"231",0.1,0,0,20
"232",0.6,1,0,20
"233",0.65,1,0,20
"234",0.35,1,0,20
"235",0.4,0,0,20
"236",0.58,1,0,20
"237",0.3,0,0,20
"238",0.55,1,0,20
"239",0.4,0,0,20
"240",0.29,0,0,20
"241",0.54,1,1,21
"242",0.75,0,1,21
"243",0.59,1,1,21
"244",0.51,1,1,21
"245",0.38,1,1,21
"246",0.52,1,1,21
"247",0.68,1,1,21
"248",0.67,1,1,21
"249",0.5,0,1,21
"250",0.4,0,1,21
"251",0.62,1,1,21
"252",0.65,1,1,21
"253",1,1,0,22
"254",0.65,1,0,22
"255",1,1,0,22
"256",0.76,1,0,22
"257",0.61,0,0,22
"258",0.15,0,0,22
"259",0.55,0,0,22
"260",0.25,0,0,22
"261",0.11,0,0,22
"262",0.83,1,0,22
"263",0.67,1,0,22
"264",0.93,1,0,22
"265",0.93,1,1,23
"266",0.86,1,1,23
"267",0.08,0,1,23
"268",0.89,1,1,23
"269",0.13,0,1,23
"270",0.11,0,1,23
"271",0.92,1,1,23
"272",0.15,0,1,23
"273",0.17,0,1,23
"274",0.92,1,1,23
"275",0.18,0,1,23
"276",0.06,0,1,23
"277",0.6,1,1,24
"278",0.55,1,1,24
"279",0.74,1,1,24
"280",0.55,0,1,24
"281",0.57,1,1,24
"282",0.52,1,1,24
"283",0.34,0,1,24
"284",0.44,0,1,24
"285",0.63,1,1,24
"286",0.45,0,1,24
"287",0.61,1,1,24
"288",0.45,0,1,24
"289",0.6,1,0,25
"290",0.9,1,0,25
"291",0.34,0,0,25
"292",0.33,0,0,25
"293",0.7,1,0,25
"294",0.7,1,0,25
"295",0.65,1,0,25
"296",0.75,1,0,25
"297",0.43,0,0,25
"298",0.8,1,0,25
"299",0.6,1,0,25
"300",0.77,1,0,25
"301",0.52,1,0,26
"302",0.64,1,0,26
"303",0.27,0,0,26
"304",0.05,0,0,26
"305",0.2,0,0,26
"306",0.6,1,0,26
"307",0.52,0,0,26
"308",0.71,1,0,26
"309",0.34,0,0,26
"310",0.55,1,0,26
"311",0.52,1,0,26
"312",0.51,0,0,26
"313",0.69,0,1,27
"314",0.73,1,1,27
"315",0.56,1,1,27
"316",0.44,0,1,27
"317",0.38,1,1,27
"318",0.69,1,1,27
"319",0.34,0,1,27
"320",0.72,1,1,27
"321",0.23,0,1,27
"322",0.87,1,1,27
"323",0.45,0,1,27
"324",0.4,1,1,27
"325",0.7,1,1,28
"326",0.71,0,1,28
"327",0.65,1,1,28
"328",0.8,1,1,28
"329",0.61,1,1,28
"330",0.3,0,1,28
"331",0.79,1,1,28
"332",0.25,0,1,28
"333",0.27,0,1,28
"334",0.77,1,1,28
"335",0.73,1,1,28
"336",0.8,1,1,28
"337",0.74,1,0,29
"338",0.3,0,0,29
"339",0.65,1,0,29
"340",0.32,0,0,29
"341",0.83,1,0,29
"342",0.31,0,0,29
"343",0.5,0,0,29
"344",0.61,1,0,29
"345",0.35,0,0,29
"346",0.28,0,0,29
"347",0.38,0,0,29
"348",0.2,0,0,29
"349",0.31,0,1,30
"350",0.86,1,1,30
"351",0.73,1,1,30
"352",0.22,0,1,30
"353",0.47,0,1,30
"354",0.5,1,1,30
"355",1,1,1,30
"356",0.29,0,1,30
"357",0.81,1,1,30
"358",0.51,1,1,30
"359",0.71,1,1,30
"360",0.71,1,1,30
"361",0.3,0,0,31
"362",0.42,0,0,31
"363",0.62,1,0,31
"364",0.29,0,0,31
"365",0.61,1,0,31
"366",0.27,0,0,31
"367",0.79,1,0,31
"368",0.6,1,0,31
"369",0.62,1,0,31
"370",0.53,0,0,31
"371",0.61,1,0,31
"372",0.7,1,0,31
"373",0.8,1,0,32
"374",0.8,1,0,32
"375",0.7,0,0,32
"376",0.9,1,0,32
"377",0.9,1,0,32
"378",0.5,0,0,32
"379",0.7,1,0,32
"380",0.4,0,0,32
"381",0.5,0,0,32
"382",0.5,0,0,32
"383",0.5,0,0,32
"384",0.75,1,0,32
"385",0.64,1,1,33
"386",0.81,1,1,33
"387",0.76,1,1,33
"388",0.59,1,1,33
"389",0.86,1,1,33
"390",0.77,1,1,33
"391",0.59,1,1,33
"392",0.69,1,1,33
"393",0.64,1,1,33
"394",0.7,1,1,33
"395",0.77,1,1,33
"396",0.65,1,1,33
"397",0.72,1,0,34
"398",0.34,0,0,34
"399",0.63,1,0,34
"400",0.55,0,0,34
"401",0.6,0,0,34
"402",0.86,1,0,34
"403",0.25,0,0,34
"404",0.64,1,0,34
"405",0.44,0,0,34
"406",0.57,0,0,34
"407",0.56,1,0,34
"408",0.41,0,0,34
"409",0.5,0,1,35
"410",0.87,1,1,35
"411",0.75,0,1,35
"412",0.78,0,1,35
"413",0.2,0,1,35
"414",0.52,0,1,35
"415",0.22,0,1,35
"416",0.73,0,1,35
"417",0.55,1,1,35
"418",0.49,0,1,35
"419",0.49,0,1,35
"420",0.67,0,1,35
"421",0.7,1,0,36
"422",0.47,0,0,36
"423",0.2,0,0,36
"424",0.33,1,0,36
"425",0.5,1,0,36
"426",0.8,0,0,36
"427",0.6,1,0,36
"428",0.9,1,0,36
"429",0.15,0,0,36
"430",0.65,1,0,36
"431",0.5,1,0,36
"432",0.7,1,0,36
"433",0.75,1,1,37
"434",0.67,0,1,37
"435",0.46,0,1,37
"436",0.48,0,1,37
"437",0.5,1,1,37
"438",0.44,0,1,37
"439",0.57,0,1,37
"440",0.63,1,1,37
"441",0.33,0,1,37
"442",0.62,1,1,37
"443",0.5,0,1,37
"444",0.44,1,1,37
"445",0.45,0,0,38
"446",0.41,0,0,38
"447",0.54,1,0,38
"448",0.58,1,0,38
"449",0.55,1,0,38
"450",0.47,0,0,38
"451",0.45,0,0,38
"452",0.52,1,0,38
"453",0.54,1,0,38
"454",0.54,1,0,38
"455",0.47,0,0,38
"456",0.49,0,0,38
"457",0.21,0,0,39
"458",0.9,1,0,39
"459",0.6,1,0,39
"460",0.42,0,0,39
"461",0.65,0,0,39
"462",0.75,0,0,39
"463",0.44,1,0,39
"464",0.67,0,0,39
"465",0.3,0,0,39
"466",0.18,0,0,39
"467",0.55,0,0,39
"468",0.67,1,0,39
"469",0.58,1,0,40
"470",0.77,1,0,40
"471",0.23,0,0,40
"472",0.45,0,0,40
"473",0.38,0,0,40
"474",0.32,0,0,40
"475",0.67,1,0,40
"476",0.59,1,0,40
"477",0.65,1,0,40
"478",0.42,0,0,40
"479",0.52,1,0,40
"480",0.41,0,0,40
"481",0.57,1,1,41
"482",0.59,0,1,41
"483",0.27,0,1,41
"484",0.54,1,1,41
"485",0.32,0,1,41
"486",0.58,1,1,41
"487",0.32,0,1,41
"488",0.18,0,1,41
"489",0.6,1,1,41
"490",0.2,0,1,41
"491",0.22,0,1,41
"492",0.35,0,1,41
"493",0.72,0,1,42
"494",0.85,1,1,42
"495",0.57,1,1,42
"496",0.28,0,1,42
"497",0.16,0,1,42
"498",0.29,0,1,42
"499",0.85,1,1,42
"500",0.83,1,1,42
"501",0.87,1,1,42
"502",0.69,1,1,42
"503",0.79,0,1,42
"504",0.88,1,1,42
"505",0.63,1,0,43
"506",0.51,0,0,43
"507",0.4,0,0,43
"508",0.51,1,0,43
"509",0.34,0,0,43
"510",0.54,1,0,43
"511",0.65,1,0,43
"512",0.69,1,0,43
"513",0.52,0,0,43
"514",0.7,1,0,43
"515",0.81,1,0,43
"516",0.39,1,0,43
"517",0.75,1,1,44
"518",0.6,1,1,44
"519",0.3,1,1,44
"520",0.25,0,1,44
"521",0.5,1,1,44
"522",0.3,1,1,44
"523",0.75,1,1,44
"524",0.25,1,1,44
"525",0.25,0,1,44
"526",0.25,0,1,44
"527",0.74,1,1,44
"528",0.6,1,1,44
"529",0.3,1,1,45
"530",0.43,0,1,45
"531",0.56,1,1,45
"532",0.54,1,1,45
"533",0.77,1,1,45
"534",0.8,1,1,45
"535",0.6,0,1,45
"536",0.43,0,1,45
"537",0.38,0,1,45
"538",0.33,0,1,45
"539",0.3,0,1,45
"540",0.55,1,1,45
"541",0.37,0,1,46
"542",0.4,0,1,46
"543",0.73,1,1,46
"544",0.42,0,1,46
"545",0.61,1,1,46
"546",0.67,1,1,46
"547",0.36,0,1,46
"548",0.74,1,1,46
"549",0.32,0,1,46
"550",0.25,0,1,46
"551",0.74,1,1,46
"552",0.3,0,1,46
"553",0.8,1,0,47
"554",0.75,1,0,47
"555",0.1,0,0,47
"556",0.1,0,0,47
"557",0.5,0,0,47
"558",0.7,1,0,47
"559",0.35,0,0,47
"560",0.8,1,0,47
"561",0.5,0,0,47
"562",0.45,0,0,47
"563",0.95,1,0,47
"564",0.5,0,0,47
"565",0.78,1,0,48
"566",0.13,0,0,48
"567",0.41,0,0,48
"568",0.3,0,0,48
"569",0.77,1,0,48
"570",0.63,1,0,48
"571",0.71,1,0,48
"572",0.58,1,0,48
"573",0.41,0,0,48
"574",0.46,0,0,48
"575",0.69,1,0,48
"576",0.41,0,0,48
"577",0.51,1,1,49
"578",0.5,0,1,49
"579",0.55,1,1,49
"580",0.5,0,1,49
"581",0.6,1,1,49
"582",0.51,1,1,49
"583",0.45,0,1,49
"584",0.49,0,1,49
"585",0.53,1,1,49
"586",0.6,1,1,49
"587",0.5,0,1,49
"588",0.46,0,1,49
"589",0.48,0,1,50
"590",0.21,0,1,50
"591",0.64,1,1,50
"592",0.67,1,1,50
"593",0.94,1,1,50
"594",0.78,1,1,50
"595",0.83,1,1,50
"596",0.3,0,1,50
"597",0.7,1,1,50
"598",0.88,1,1,50
"599",0.87,0,1,50
"600",0.61,0,1,50
"601",0.61,1,1,51
"602",0.51,0,1,51
"603",0.26,0,1,51
"604",0.66,1,1,51
"605",0.82,1,1,51
"606",0.39,0,1,51
"607",0.45,0,1,51
"608",0.36,0,1,51
"609",0.34,0,1,51
"610",0.78,1,1,51
"611",0.37,0,1,51
"612",0.48,0,1,51
"613",0.4,0,1,52
"614",0.45,0,1,52
"615",0.35,0,1,52
"616",0.35,0,1,52
"617",0.35,0,1,52
"618",0.75,1,1,52
"619",0.5,0,1,52
"620",0.15,0,1,52
"621",0.5,0,1,52
"622",0.75,1,1,52
"623",0.5,0,1,52
"624",0.35,1,1,52
"625",0.54,1,1,53
"626",0.45,1,1,53
"627",0.47,1,1,53
"628",0.59,1,1,53
"629",0.6,1,1,53
"630",0.54,0,1,53
"631",0.5,1,1,53
"632",0.4,0,1,53
"633",0.43,1,1,53
"634",0.64,1,1,53
"635",0.52,1,1,53
"636",0.54,1,1,53
"637",0.28,0,1,54
"638",0.1,0,1,54
"639",0.4,0,1,54
"640",0.83,1,1,54
"641",0.5,1,1,54
"642",0.85,1,1,54
"643",0.87,1,1,54
"644",0.74,1,1,54
"645",0.5,1,1,54
"646",0.92,1,1,54
"647",0.9,1,1,54
"648",0.65,1,1,54
"649",0.72,1,0,55
"650",0.7,1,0,55
"651",0.73,1,0,55
"652",0.33,0,0,55
"653",0.41,0,0,55
"654",0.53,1,0,55
"655",0.69,0,0,55
"656",0.42,0,0,55
"657",0.87,1,0,55
"658",0.2,0,0,55
"659",0.47,0,0,55
"660",0.5,0,0,55
"661",0.4,0,0,56
"662",0.1,0,0,56
"663",0.6,1,0,56
"664",0.1,0,0,56
"665",0.66,1,0,56
"666",0.58,1,0,56
"667",0.32,0,0,56
"668",0.66,1,0,56
"669",0.59,0,0,56
"670",0.16,0,0,56
"671",0.57,1,0,56
"672",0.57,1,0,56
"673",0.22,0,1,57
"674",0.88,1,1,57
"675",0.34,0,1,57
"676",0.22,1,1,57
"677",0.57,0,1,57
"678",0.28,0,1,57
"679",0.31,0,1,57
"680",0.72,0,1,57
"681",0.33,0,1,57
"682",0.35,0,1,57
"683",0.11,0,1,57
"684",0.56,0,1,57
"685",0.35,0,1,58
"686",0.19,0,1,58
"687",0.78,1,1,58
"688",0.41,0,1,58
"689",0.71,1,1,58
"690",0.32,0,1,58
"691",0.84,1,1,58
"692",0.53,1,1,58
"693",0.64,1,1,58
"694",0.1,0,1,58
"695",0.22,0,1,58
"696",0.79,1,1,58
"697",0.43,0,0,59
"698",0.69,1,0,59
"699",0.49,0,0,59
"700",0.21,0,0,59
"701",0.46,0,0,59
"702",0.64,1,0,59
"703",0.41,1,0,59
"704",0.38,0,0,59
"705",0.58,1,0,59
"706",0.38,0,0,59
"707",0.54,0,0,59
"708",0.63,1,0,59
"709",0.64,1,0,60
"710",0.67,1,0,60
"711",0.67,1,0,60
"712",0.68,0,0,60
"713",0.53,0,0,60
"714",0.52,0,0,60
"715",0.31,0,0,60
"716",0.59,1,0,60
"717",0.51,0,0,60
"718",0.68,1,0,60
"719",0.51,0,0,60
"720",0.59,0,0,60
"721",0.71,1,1,61
"722",0.66,1,1,61
"723",0.97,1,1,61
"724",0.1,0,1,61
"725",0.72,1,1,61
"726",0.34,0,1,61
"727",0.72,1,1,61
"728",0.72,0,1,61
"729",0.74,1,1,61
"730",0.83,1,1,61
"731",0.41,0,1,61
"732",0.45,0,1,61
"733",0.88,0,1,62
"734",0.56,1,1,62
"735",0.99,1,1,62
"736",0.88,1,1,62
"737",0.67,1,1,62
"738",0.53,1,1,62
"739",0.31,0,1,62
"740",0.56,1,1,62
"741",0.4,0,1,62
"742",0.72,1,1,62
"743",0.63,1,1,62
"744",0.7,0,1,62
"745",0.34,0,0,63
"746",0.75,1,0,63
"747",0.64,1,0,63
"748",0.27,0,0,63
"749",0.64,1,0,63
"750",0.18,0,0,63
"751",0.63,1,0,63
"752",0.32,0,0,63
"753",0.64,1,0,63
"754",0.61,1,0,63
"755",0.38,0,0,63
"756",0.71,1,0,63
"757",0.76,0,1,64
"758",0.59,0,1,64
"759",0.16,0,1,64
"760",0.4,0,1,64
"761",0.47,0,1,64
"762",0.59,1,1,64
"763",0.64,1,1,64
"764",0.43,1,1,64
"765",0.51,0,1,64
"766",0.41,0,1,64
"767",0.5,0,1,64
"768",0.57,1,1,64
"769",0.28,0,1,65
"770",0.11,0,1,65
"771",0.3,0,1,65
"772",0.65,1,1,65
"773",0.4,0,1,65
"774",0.53,0,1,65
"775",0.58,0,1,65
"776",0.52,1,1,65
"777",0.34,0,1,65
"778",0.8,1,1,65
"779",0.53,0,1,65
"780",0.36,0,1,65
"781",0.49,0,1,66
"782",0.9,1,1,66
"783",0.07,0,1,66
"784",0.32,0,1,66
"785",0.44,1,1,66
"786",0.81,1,1,66
"787",0.59,1,1,66
"788",0.61,0,1,66
"789",0.53,0,1,66
"790",0.8,1,1,66
"791",0.73,1,1,66
"792",0.61,1,1,66
"793",0.7,1,0,67
"794",0.25,0,0,67
"795",0.2,0,0,67
"796",0.15,0,0,67
"797",0.85,1,0,67
"798",0.6,1,0,67
"799",0.5,0,0,67
"800",0.5,0,0,67
"801",0.3,0,0,67
"802",0.6,1,0,67
"803",0.8,1,0,67
"804",0.85,1,0,67
"805",0.72,1,1,68
"806",0.22,0,1,68
"807",0.15,0,1,68
"808",0.67,1,1,68
"809",0.41,0,1,68
"810",0.63,1,1,68
"811",0.3,0,1,68
"812",0.39,0,1,68
"813",0.38,0,1,68
"814",0.37,0,1,68
"815",0.79,1,1,68
"816",0.73,1,1,68
"817",0.6,1,1,69
"818",0.43,0,1,69
"819",0.66,1,1,69
"820",0.51,0,1,69
"821",0.67,1,1,69
"822",0.53,1,1,69
"823",0.42,1,1,69
"824",0.18,0,1,69
"825",0.66,1,1,69
"826",0.71,1,1,69
"827",0.38,0,1,69
"828",0.22,0,1,69
"829",0.6,1,0,70
"830",0.6,0,0,70
"831",0.27,0,0,70
"832",0.42,0,0,70
"833",0.62,1,0,70
"834",0.4,0,0,70
"835",0.6,1,0,70
"836",0.46,0,0,70
"837",0.42,0,0,70
"838",0.3,0,0,70
"839",0.13,0,0,70
"840",0.45,0,0,70
"841",0.56,0,0,71
"842",0.58,1,0,71
"843",0.5,0,0,71
"844",0.5,1,0,71
"845",0.6,1,0,71
"846",0.4,0,0,71
"847",0.48,0,0,71
"848",0.5,0,0,71
"849",0.13,0,0,71
"850",0.25,0,0,71
"851",0.53,1,0,71
"852",0.5,1,0,71
"853",1,1,0,72
"854",0,0,0,72
"855",0,0,0,72
"856",0.5,0,0,72
"857",0.5,0,0,72
"858",1,1,0,72
"859",0.5,0,0,72
"860",1,1,0,72
"861",0,0,0,72
"862",0.5,0,0,72
"863",1,1,0,72
"864",1,1,0,72
"865",0.35,0,1,73
"866",0.8,1,1,73
"867",0.36,0,1,73
"868",0.62,1,1,73
"869",0.8,1,1,73
"870",0.82,1,1,73
"871",0.65,1,1,73
"872",0.5,0,1,73
"873",0.65,1,1,73
"874",0.36,0,1,73
"875",0.63,1,1,73
"876",0.25,0,1,73
"877",0.72,1,0,74
"878",0.25,0,0,74
"879",0.86,1,0,74
"880",0.3,0,0,74
"881",0.59,1,0,74
"882",0.72,1,0,74
"883",0.61,1,0,74
"884",0.14,0,0,74
"885",0.64,1,0,74
"886",0.59,1,0,74
"887",0.64,1,0,74
"888",0.23,0,0,74
"889",0.4,0,1,75
"890",0.2,1,1,75
"891",0.6,1,1,75
"892",0.4,0,1,75
"893",0.7,1,1,75
"894",0.35,0,1,75
"895",0.45,0,1,75
"896",0.35,0,1,75
"897",0.8,1,1,75
"898",0.9,1,1,75
"899",0.55,1,1,75
"900",0.9,1,1,75
