"","Comp","CompType","EarlyResponse","LateResponse","SpeakerEarly","SpeakerLate","TransformEarly","TransformLate","ParticipantID","EarlyTVJ","LateTVJ","EarlyPrior","LatePrior","GenPrior","EarlyShift","LateShift","CompBorderline","Skill","ChampFam","ChampFam_total","Participant","UnextremeEarly","UnextremeLate","ProbitEarly","ProbitLate","Skill_Index","ChampFam_total_index","AgreeEarly","AgreeLate","Early_psi_bern","Late_psi_bern"
"115",2,1,0.5,0.34,0,0,0,0.16,10,1,0,0.75,0.38,0.7,-0.25,-0.04,1,"Diamond",4,"121-150",10,0.5,0.34,0,-0.412463129441405,4,5,99,99,0,0
"116",11,6,0.5,0.62,0,1,0,0.12,10,1,0,0.7,0.4,0.56,-0.2,0.22,3,"Diamond",5,"121-150",10,0.5,0.62,0,0.305480788099397,4,5,99,0,0,0.00266666666666667
"117",4,2,0.55,0.4,1,0,0.05,0.1,10,0,1,0.41,0.6,0.5,0.14,-0.2,2,"Diamond",4,"121-150",10,0.55,0.4,0.125661346855074,-0.2533471031358,4,5,0,99,0.0523333333333333,0
"118",9,5,0.3,0.4,0,0,0.2,0.1,10,0,1,0.5,0.6,0.4,-0.2,-0.2,2,"Diamond",5,"121-150",10,0.3,0.4,-0.524400512708041,-0.2533471031358,4,5,99,99,0,0
"119",12,6,0.94,0.05,1,0,0.44,0.45,10,1,0,0.8,0.15,0.7,0.14,-0.1,3,"Diamond",5,"121-150",10,0.94,0.05,1.55477359459685,-1.64485362695147,4,5,1,99,0,0
"120",7,4,0.28,0.9,0,1,0.22,0.4,10,0,1,0.35,0.87,0.75,-0.07,0.03,1,"Diamond",5,"121-150",10,0.28,0.9,-0.582841507271216,1.2815515655446,4,5,99,1,0,0
"121",4,2,0.5,0.51,1,1,0,0.01,11,0,0,0.5,0.5,0.3,0,0.01,2,"Challenger",5,"121-150",11,0.5,0.51,0,0.0250689082587111,6,5,0,0,0.868,0.834333333333333
"122",8,4,0.6,0.75,0,0,0.1,0.25,11,0,1,0.6,0.75,0.68,0,0,1,"Challenger",5,"121-150",11,0.6,0.75,0.2533471031358,0.674489750196082,6,5,99,99,0,0
"123",1,1,0.75,0.55,1,0,0.25,0.05,11,1,0,0.75,0.55,0.65,0,0,1,"Challenger",5,"121-150",11,0.75,0.55,0.674489750196082,0.125661346855074,6,5,1,99,0,0
"124",11,6,0.8,0.4,1,0,0.3,0.1,11,1,0,0.8,0.4,0.6,0,0,3,"Challenger",5,"121-150",11,0.8,0.4,0.841621233572914,-0.2533471031358,6,5,1,99,0,0
"125",10,5,0.62,0.62,0,0,0.12,0.12,11,1,1,0.62,0.62,0.62,0,0,2,"Challenger",5,"121-150",11,0.62,0.62,0.305480788099397,0.305480788099397,6,5,99,99,0,0
"126",5,3,0.6,0.9,0,1,0.1,0.4,11,0,1,0.6,0.9,0.75,0,0,3,"Challenger",5,"121-150",11,0.6,0.9,0.2533471031358,1.2815515655446,6,5,99,1,0,0
"127",6,3,0.35,1,1,0,0.15,0.5,11,0,1,0.35,1,0.5,0,0,3,"Challenger",5,"121-150",11,0.35,0.999,-0.385320466407568,3.09023230616781,6,5,0,99,0.994666666666667,0
"128",3,2,0.6,0.5,0,0,0.1,0,11,1,0,0.6,0.5,0.55,0,0,2,"Challenger",5,"121-150",11,0.6,0.5,0.2533471031358,0,6,5,99,99,0,0
"129",2,1,0.8,0.7,0,1,0.3,0.2,11,1,1,0.8,0.7,0.75,0,0,1,"Challenger",5,"121-150",11,0.8,0.7,0.841621233572914,0.524400512708041,6,5,99,1,0,0
"130",7,4,0.6,0.85,1,1,0.1,0.35,11,1,1,0.6,0.85,0.73,0,0,1,"Challenger",5,"121-150",11,0.6,0.85,0.2533471031358,1.03643338949379,6,5,1,1,0,0
"131",12,6,0.75,0.55,0,1,0.25,0.05,11,1,0,0.75,0.55,0.63,0,0,3,"Challenger",5,"121-150",11,0.75,0.55,0.674489750196082,0.125661346855074,6,5,99,0,0,0.768333333333333
"132",9,5,0.6,0.3,1,1,0.1,0.2,11,1,0,0.6,0.3,0.35,0,0,2,"Challenger",5,"121-150",11,0.6,0.3,0.2533471031358,-0.524400512708041,6,5,1,0,0,0.999666666666667
"133",7,4,0.25,0.7,1,1,0.25,0.2,12,1,1,0.6,0.65,0.8,-0.35,0.0499999999999999,1,"Platinum",5,"121-150",12,0.25,0.7,-0.674489750196082,0.524400512708041,3,5,1,1,0,0
"134",5,3,0.05,0.6,0,0,0.45,0.1,12,0,1,0.1,0.6,0.5,-0.05,0,3,"Platinum",5,"121-150",12,0.05,0.6,-1.64485362695147,0.2533471031358,3,5,99,99,0,0
"135",11,6,0.7,0.4,1,1,0.2,0.1,12,1,0,0.7,0.4,0.4,0,0,3,"Platinum",5,"121-150",12,0.7,0.4,0.524400512708041,-0.2533471031358,3,5,1,0,0,0.964333333333333
"136",8,4,0.3,0.5,0,0,0.2,0,12,1,1,0.4,0.5,0.5,-0.1,0,1,"Platinum",5,"121-150",12,0.3,0.5,-0.524400512708041,0,3,5,99,99,0,0
"137",1,1,0.5,0.6,1,0,0,0.1,12,1,1,0.45,0.73,0.5,0.05,-0.13,1,"Platinum",5,"121-150",12,0.5,0.6,0,0.2533471031358,3,5,1,99,0,0
"138",2,1,0.65,0.15,0,1,0.15,0.35,12,1,0,0.7,0.15,0.4,-0.0499999999999999,0,1,"Platinum",5,"121-150",12,0.65,0.15,0.385320466407568,-1.03643338949379,3,5,99,0,0,1
"139",3,2,0.6,0.6,1,0,0.1,0.1,12,1,1,0.6,0.65,0.6,0,-0.05,2,"Platinum",5,"121-150",12,0.6,0.6,0.2533471031358,0.2533471031358,3,5,1,99,0,0
"140",10,5,0.55,0.1,0,1,0.05,0.4,12,1,0,0.55,0.4,0.35,0,-0.3,2,"Platinum",5,"121-150",12,0.55,0.1,0.125661346855074,-1.2815515655446,3,5,99,0,0,1
"141",6,3,0.1,0.8,1,1,0.4,0.3,12,0,1,0.1,0.8,0.35,0,0,3,"Platinum",5,"121-150",12,0.1,0.8,-1.2815515655446,0.841621233572914,3,5,0,1,1,0
"142",9,5,0.3,0.15,1,0,0.2,0.35,12,0,0,0.2,0.4,0.34,0.1,-0.25,2,"Platinum",5,"121-150",12,0.3,0.15,-0.524400512708041,-1.03643338949379,3,5,0,99,0.991666666666667,0
"143",4,2,0.5,1,0,1,0,0.5,12,1,1,0.43,0.8,0.7,0.07,0.2,2,"Platinum",5,"121-150",12,0.5,0.999,0,3.09023230616781,3,5,99,1,0,0
"144",12,6,0.54,0.03,0,0,0.04,0.47,12,1,0,0.7,0.1,0.17,-0.16,-0.07,3,"Platinum",5,"121-150",12,0.54,0.03,0.10043372051147,-1.88079360815125,3,5,99,99,0,0
"145",1,1,0.85,0.85,1,1,0.35,0.35,13,0,0,0.5,0.5,0.5,0.35,0.35,1,"Silver",0,"0-30",13,0.85,0.85,1.03643338949379,1.03643338949379,1,1,0,0,0,0
"146",7,4,0.1,0.85,0,1,0.4,0.35,13,0,0,0.5,0.5,0.5,-0.4,0.35,1,"Silver",0,"0-30",13,0.1,0.85,-1.2815515655446,1.03643338949379,1,1,99,0,0,0
"147",5,3,0.85,0.1,1,0,0.35,0.4,13,0,0,0.5,0.5,0.5,0.35,-0.4,3,"Silver",0,"0-30",13,0.85,0.1,1.03643338949379,-1.2815515655446,1,1,0,99,0,0
"148",12,6,0.1,0.85,0,1,0.4,0.35,13,0,0,0.5,0.5,0.5,-0.4,0.35,3,"Silver",0,"0-30",13,0.1,0.85,-1.2815515655446,1.03643338949379,1,1,99,0,0,0
"149",4,2,0.1,0.1,0,0,0.4,0.4,13,0,0,0.5,0.5,0.5,-0.4,-0.4,2,"Silver",0,"0-30",13,0.1,0.1,-1.2815515655446,-1.2815515655446,1,1,99,99,0,0
"150",11,6,0.85,0.1,1,0,0.35,0.4,13,0,0,0.5,0.5,0.5,0.35,-0.4,3,"Silver",0,"0-30",13,0.85,0.1,1.03643338949379,-1.2815515655446,1,1,0,99,0,0
"151",10,5,0.85,0.85,1,1,0.35,0.35,13,0,0,0.5,0.5,0.5,0.35,0.35,2,"Silver",0,"0-30",13,0.85,0.85,1.03643338949379,1.03643338949379,1,1,0,0,0,0
"152",6,3,0.1,0.85,0,1,0.4,0.35,13,0,0,0.5,0.5,0.5,-0.4,0.35,3,"Silver",0,"0-30",13,0.1,0.85,-1.2815515655446,1.03643338949379,1,1,99,0,0,0
"153",2,1,0.1,0.1,0,0,0.4,0.4,13,0,0,0.5,0.5,0.5,-0.4,-0.4,1,"Silver",0,"0-30",13,0.1,0.1,-1.2815515655446,-1.2815515655446,1,1,99,99,0,0
"154",9,5,0.1,0.1,0,0,0.4,0.4,13,0,0,0.5,0.5,0.5,-0.4,-0.4,2,"Silver",1,"0-30",13,0.1,0.1,-1.2815515655446,-1.2815515655446,1,1,99,99,0,0
"155",3,2,0.85,0.85,1,1,0.35,0.35,13,0,0,0.5,0.5,0.5,0.35,0.35,2,"Silver",0,"0-30",13,0.85,0.85,1.03643338949379,1.03643338949379,1,1,0,0,0,0
"156",8,4,0.85,0.1,1,0,0.35,0.4,13,0,0,0.5,0.5,0.5,0.35,-0.4,1,"Silver",0,"0-30",13,0.85,0.1,1.03643338949379,-1.2815515655446,1,1,0,99,0,0
"157",3,2,0.65,0.35,1,0,0.15,0.15,14,1,1,0.6,0.7,0.5,0.05,-0.35,2,"Master",4,"121-150",14,0.65,0.35,0.385320466407568,-0.385320466407568,5,5,1,99,0,0
"158",2,1,0.4,0.6,0,1,0.1,0.1,14,1,1,0.6,0.6,0.5,-0.2,0,1,"Master",4,"121-150",14,0.4,0.6,-0.2533471031358,0.2533471031358,5,5,99,1,0,0
"159",7,4,0.65,0.75,1,1,0.15,0.25,14,1,1,0.6,0.8,0.75,0.05,-0.05,1,"Master",4,"121-150",14,0.65,0.75,0.385320466407568,0.674489750196082,5,5,1,1,0,0
"160",1,1,0.65,0.4,1,0,0.15,0.1,14,1,0,0.65,0.5,0.6,0,-0.1,1,"Master",4,"121-150",14,0.65,0.4,0.385320466407568,-0.2533471031358,5,5,1,99,0,0
"161",10,5,0.45,0.55,0,1,0.05,0.05,14,1,0,0.55,0.35,0.5,-0.1,0.2,2,"Master",4,"121-150",14,0.45,0.55,-0.125661346855074,0.125661346855074,5,5,99,0,0,0.011
"162",8,4,0.45,0.45,0,0,0.05,0.05,14,1,1,0.6,0.75,0.75,-0.15,-0.3,1,"Master",4,"121-150",14,0.45,0.45,-0.125661346855074,-0.125661346855074,5,5,99,99,0,0
"163",4,2,0.45,0.6,0,1,0.05,0.1,14,1,1,0.55,0.6,0.5,-0.1,0,2,"Master",4,"121-150",14,0.45,0.6,-0.125661346855074,0.2533471031358,5,5,99,1,0,0
"164",5,3,0.5,0.8,1,1,0,0.3,14,0,1,0.3,0.8,0.5,0.2,0,3,"Master",4,"121-150",14,0.5,0.8,0,0.841621233572914,5,5,0,1,0.0106666666666667,0
"165",12,6,0.65,0.66,1,1,0.15,0.16,14,1,1,0.65,0.66,0.5,0,0,3,"Master",4,"121-150",14,0.65,0.66,0.385320466407568,0.412463129441405,5,5,1,1,0,0
"166",6,3,0.26,0.7,0,0,0.24,0.2,14,0,1,0.3,0.7,0.4,-0.04,0,3,"Master",4,"121-150",14,0.26,0.7,-0.643345405392917,0.524400512708041,5,5,99,99,0,0
"167",9,5,0.6,0.5,1,0,0.1,0,14,1,1,0.6,0.65,0.5,0,-0.15,2,"Master",4,"121-150",14,0.6,0.5,0.2533471031358,0,5,5,1,99,0,0
"168",11,6,0.43,0.41,0,0,0.07,0.09,14,1,1,0.8,0.59,0.6,-0.37,-0.18,3,"Master",4,"121-150",14,0.43,0.41,-0.176374164780861,-0.227544976641149,5,5,99,99,0,0
"169",11,6,0.25,0.75,0,1,0.25,0.25,15,1,0,0.7,0.4,0.64,-0.45,0.35,3,"Gold",5,"121-150",15,0.25,0.75,-0.674489750196082,0.674489750196082,2,5,99,0,0,0
"170",7,4,0.7,0.3,1,0,0.2,0.2,15,0,1,0.35,0.65,0.55,0.35,-0.35,1,"Gold",5,"121-150",15,0.7,0.3,0.524400512708041,-0.524400512708041,2,5,0,99,0,0
"171",1,1,0.7,0.7,1,1,0.2,0.2,15,1,1,0.65,0.65,0.64,0.0499999999999999,0.0499999999999999,1,"Gold",5,"121-150",15,0.7,0.7,0.524400512708041,0.524400512708041,2,5,1,1,0,0
"172",2,1,0.3,0.3,0,0,0.2,0.2,15,0,0,0.4,0.4,0.4,-0.1,-0.1,1,"Gold",5,"121-150",15,0.3,0.3,-0.524400512708041,-0.524400512708041,2,5,99,99,0,0
"173",5,3,0.6,0.75,1,1,0.1,0.25,15,0,1,0.4,0.75,0.65,0.2,0,3,"Gold",5,"121-150",15,0.6,0.75,0.2533471031358,0.674489750196082,2,5,0,1,0.00466666666666667,0
"174",12,6,0.66,0.3,1,0,0.16,0.2,15,0,0,0.4,0.35,0.4,0.26,-0.05,3,"Gold",5,"121-150",15,0.66,0.3,0.412463129441405,-0.524400512708041,2,5,0,99,0,0
"175",9,5,0.4,0.4,0,0,0.1,0.1,15,1,1,0.65,0.7,0.65,-0.25,-0.3,2,"Gold",5,"121-150",15,0.4,0.4,-0.2533471031358,-0.2533471031358,2,5,99,99,0,0
"176",8,4,0.3,0.65,0,1,0.2,0.15,15,1,1,0.55,0.6,0.55,-0.25,0.05,1,"Gold",5,"121-150",15,0.3,0.65,-0.524400512708041,0.385320466407568,2,5,99,1,0,0
"177",3,2,0.6,0.35,1,0,0.1,0.15,15,0,0,0.4,0.45,0.43,0.2,-0.1,2,"Gold",5,"121-150",15,0.6,0.35,0.2533471031358,-0.385320466407568,2,5,0,99,0.004,0
"178",4,2,0.35,0.65,0,1,0.15,0.15,15,0,1,0.35,0.65,0.5,0,0,2,"Gold",5,"121-150",15,0.35,0.65,-0.385320466407568,0.385320466407568,2,5,99,1,0,0
"179",10,5,0.6,0.6,1,1,0.1,0.1,15,0,0,0.35,0.45,0.4,0.25,0.15,2,"Gold",5,"121-150",15,0.6,0.6,0.2533471031358,0.2533471031358,2,5,0,0,0.001,0.0196666666666667
"180",6,3,0.35,0.35,0,0,0.15,0.15,15,0,0,0.45,0.45,0.45,-0.1,-0.1,3,"Gold",5,"121-150",15,0.35,0.35,-0.385320466407568,-0.385320466407568,2,5,99,99,0,0
"181",9,5,0.52,0.62,1,1,0.02,0.12,16,1,1,0.32,0.66,0.47,0.2,-0.04,2,"Silver",4,"121-150",16,0.52,0.62,0.0501535834647337,0.305480788099397,1,5,1,1,0,0
"182",4,2,0.31,0.77,1,1,0.19,0.27,16,0,1,0.29,0.82,0.59,0.02,-0.0499999999999999,2,"Silver",5,"121-150",16,0.31,0.77,-0.495850347347453,0.738846849185214,1,5,0,1,0.974333333333333,0
"183",5,3,0.51,0.62,1,0,0.01,0.12,16,1,1,0.48,0.66,0.51,0.03,-0.04,3,"Silver",5,"121-150",16,0.51,0.62,0.0250689082587111,0.305480788099397,1,5,1,99,0,0
"184",3,2,0.9,0.38,0,0,0.4,0.12,16,1,0,0.74,0.42,0.63,0.16,-0.04,2,"Silver",5,"121-150",16,0.9,0.38,1.2815515655446,-0.305480788099397,1,5,99,99,0,0
"185",6,3,0.31,0.66,0,1,0.19,0.16,16,0,1,0.36,0.73,0.5,-0.05,-0.07,3,"Silver",5,"121-150",16,0.31,0.66,-0.495850347347453,0.412463129441405,1,5,99,1,0,0
"186",1,1,0.52,0.57,1,1,0.02,0.07,16,1,1,0.61,0.51,0.59,-0.09,0.0599999999999999,1,"Silver",5,"121-150",16,0.52,0.57,0.0501535834647337,0.176374164780861,1,5,1,1,0,0
"187",11,6,0.43,0.54,1,0,0.07,0.04,16,1,1,0.45,0.63,0.52,-0.02,-0.09,3,"Silver",5,"121-150",16,0.43,0.54,-0.176374164780861,0.10043372051147,1,5,1,99,0,0
"188",2,1,0.82,0.48,0,0,0.32,0.02,16,1,0,0.62,0.45,0.57,0.2,0.03,1,"Silver",5,"121-150",16,0.82,0.48,0.915365087842814,-0.0501535834647337,1,5,99,99,0,0
"189",12,6,0.85,0.43,0,1,0.35,0.07,16,1,0,0.74,0.42,0.59,0.11,0.01,3,"Silver",5,"121-150",16,0.85,0.43,1.03643338949379,-0.176374164780861,1,5,99,0,0,0.776333333333333
"190",8,4,0.54,0.63,0,1,0.04,0.13,16,1,1,0.5,0.62,0.57,0.04,0.01,1,"Silver",5,"121-150",16,0.54,0.63,0.10043372051147,0.331853346436817,1,5,99,1,0,0
"191",10,5,0.55,0.51,0,0,0.05,0.01,16,1,0,0.58,0.48,0.54,-0.0299999999999999,0.03,2,"Silver",5,"121-150",16,0.55,0.51,0.125661346855074,0.0250689082587111,1,5,99,99,0,0
"192",7,4,0.37,0.69,1,0,0.13,0.19,16,0,1,0.44,0.76,0.61,-0.07,-0.0700000000000001,1,"Silver",5,"121-150",16,0.37,0.69,-0.331853346436817,0.495850347347453,1,5,0,99,0.883666666666667,0
"193",9,5,0.7,0.7,1,1,0.2,0.2,17,0,1,0,0.02,0.02,0.7,0.68,2,"Platinum",3,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,0,1,0,0
"194",6,3,0.7,0.7,0,1,0.2,0.2,17,0,1,0.15,0.55,0.3,0.55,0.15,3,"Platinum",4,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,99,1,0,0
"195",8,4,0.7,0.7,0,0,0.2,0.2,17,1,1,0.7,0.9,0.55,0,-0.2,1,"Platinum",5,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,99,99,0,0
"196",5,3,0.7,0.7,1,0,0.2,0.2,17,0,1,0.2,0.4,0.05,0.5,0.3,3,"Platinum",4,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,0,99,0,0
"197",3,2,0.7,0.7,1,0,0.2,0.2,17,1,0,0.85,0.3,0.3,-0.15,0.4,2,"Platinum",5,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,1,99,0,0
"198",2,1,0.7,0.7,1,1,0.2,0.2,17,1,0,0.95,0.1,0.03,-0.25,0.6,1,"Platinum",5,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,1,0,0,0
"199",12,6,0.7,0.7,0,1,0.2,0.2,17,1,0,0.7,0.15,0.07,0,0.55,3,"Platinum",5,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,99,0,0,0
"200",11,6,0.7,0.7,1,0,0.2,0.2,17,0,0,0.05,0,0,0.65,0.7,3,"Platinum",5,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,0,99,0,0
"201",1,1,0.7,0.69,0,0,0.2,0.19,17,1,0,0.4,0.2,0.05,0.3,0.49,1,"Platinum",5,"61-90",17,0.7,0.69,0.524400512708041,0.495850347347453,3,3,99,99,0,0
"202",10,5,0.7,0.7,0,0,0.2,0.2,17,0,0,0.2,0.05,0,0.5,0.65,2,"Platinum",5,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,99,99,0,0
"203",7,4,0.7,0.7,1,1,0.2,0.2,17,0,1,0.3,0.75,0.15,0.4,-0.05,1,"Platinum",5,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,0,1,0,0
"204",4,2,0.7,0.7,0,1,0.2,0.2,17,0,0,0.05,0.25,0,0.65,0.45,2,"Platinum",4,"61-90",17,0.7,0.7,0.524400512708041,0.524400512708041,3,3,99,0,0,0
"205",12,6,0.65,0.4,1,0,0.15,0.1,18,1,0,0.65,0.4,0.55,0,0,3,"Diamond",5,"121-150",18,0.65,0.4,0.385320466407568,-0.2533471031358,4,5,1,99,0,0
"206",10,5,0.4,0.65,0,1,0.1,0.15,18,1,1,0.55,0.65,0.6,-0.15,0,2,"Diamond",5,"121-150",18,0.4,0.65,-0.2533471031358,0.385320466407568,4,5,99,1,0,0
"207",3,2,0.6,0.65,1,1,0.1,0.15,18,1,0,0.6,0.5,0.55,0,0.15,2,"Diamond",5,"121-150",18,0.6,0.65,0.2533471031358,0.385320466407568,4,5,1,0,0,0.042
"208",8,4,0.4,0.45,0,0,0.1,0.05,18,1,1,0.6,0.65,0.62,-0.2,-0.2,1,"Diamond",5,"121-150",18,0.4,0.45,-0.2533471031358,-0.125661346855074,4,5,99,99,0,0
"209",11,6,0.45,0.55,0,1,0.05,0.05,18,1,0,0.7,0.35,0.58,-0.25,0.2,3,"Diamond",5,"121-150",18,0.45,0.55,-0.125661346855074,0.125661346855074,4,5,99,0,0,0.00766666666666667
"210",7,4,0.53,0.65,1,1,0.03,0.15,18,0,1,0.5,0.65,0.59,0.03,0,1,"Diamond",5,"121-150",18,0.53,0.65,0.0752698620998299,0.385320466407568,4,5,0,1,0.246666666666667,0
"211",5,3,0.57,0.5,1,0,0.07,0,18,0,1,0.45,0.7,0.55,0.12,-0.2,3,"Diamond",5,"121-150",18,0.57,0.5,0.176374164780861,0,4,5,0,99,0.0806666666666667,0
"212",2,1,0.45,0.58,0,0,0.05,0.08,18,1,1,0.57,0.55,0.55,-0.12,0.0299999999999999,1,"Diamond",5,"121-150",18,0.45,0.58,-0.125661346855074,0.201893479141851,4,5,99,99,0,0
"213",1,1,0.7,0.6,1,1,0.2,0.1,18,1,1,0.7,0.55,0.63,0,0.0499999999999999,1,"Diamond",5,"121-150",18,0.7,0.6,0.524400512708041,0.2533471031358,4,5,1,1,0,0
"214",4,2,0.4,0.53,0,0,0.1,0.03,18,0,1,0.43,0.57,0.51,-0.03,-0.0399999999999999,2,"Diamond",5,"121-150",18,0.4,0.53,-0.2533471031358,0.0752698620998299,4,5,99,99,0,0
"215",6,3,0.44,0.75,0,1,0.06,0.25,18,1,1,0.53,0.66,0.59,-0.09,0.09,3,"Diamond",5,"121-150",18,0.44,0.75,-0.150969215496777,0.674489750196082,4,5,99,1,0,0
"216",9,5,0.6,0.42,1,0,0.1,0.08,18,1,0,0.56,0.53,0.5,0.0399999999999999,-0.11,2,"Diamond",5,"121-150",18,0.6,0.42,0.2533471031358,-0.201893479141851,4,5,1,99,0,0
"217",5,3,0.4,0.85,0,1,0.1,0.35,19,0,1,0.3,0.85,0.65,0.1,0,3,"Platinum",5,"121-150",19,0.4,0.85,-0.2533471031358,1.03643338949379,3,5,99,1,0,0
"218",8,4,0.56,0.6,0,0,0.0600000000000001,0.1,19,1,1,0.7,0.6,0.6,-0.14,0,1,"Platinum",5,"121-150",19,0.56,0.6,0.150969215496777,0.2533471031358,3,5,99,99,0,0
"219",12,6,0.7,0.5,1,1,0.2,0,19,1,0,0.7,0.55,0.55,0,-0.05,3,"Platinum",5,"121-150",19,0.7,0.5,0.524400512708041,0,3,5,1,0,0,0.536333333333333
"220",9,5,0.6,0.7,1,0,0.1,0.2,19,1,1,0.6,0.65,0.7,0,0.0499999999999999,2,"Platinum",5,"121-150",19,0.6,0.7,0.2533471031358,0.524400512708041,3,5,1,99,0,0
"221",6,3,0.55,0.7,1,0,0.05,0.2,19,1,1,0.58,0.75,0.65,-0.0299999999999999,-0.05,3,"Platinum",5,"121-150",19,0.55,0.7,0.125661346855074,0.524400512708041,3,5,1,99,0,0
"222",3,2,0.7,0.57,1,0,0.2,0.07,19,1,0,0.62,0.55,0.55,0.08,0.0199999999999999,2,"Platinum",5,"121-150",19,0.7,0.57,0.524400512708041,0.176374164780861,3,5,1,99,0,0
"223",4,2,0.65,0.75,0,1,0.15,0.25,19,1,1,0.6,0.7,0.7,0.05,0.05,2,"Platinum",5,"121-150",19,0.65,0.75,0.385320466407568,0.674489750196082,3,5,99,1,0,0
"224",10,5,0.7,0.57,0,1,0.2,0.07,19,1,0,0.65,0.6,0.6,0.0499999999999999,-0.03,2,"Platinum",5,"121-150",19,0.7,0.57,0.524400512708041,0.176374164780861,3,5,99,0,0,0.403333333333333
"225",11,6,0.7,0.55,0,0,0.2,0.05,19,1,0,0.7,0.6,0.65,0,-0.0499999999999999,3,"Platinum",5,"121-150",19,0.7,0.55,0.524400512708041,0.125661346855074,3,5,99,99,0,0
"226",2,1,0.65,0.6,1,1,0.15,0.1,19,1,1,0.6,0.55,0.6,0.05,0.0499999999999999,1,"Platinum",5,"121-150",19,0.65,0.6,0.385320466407568,0.2533471031358,3,5,1,1,0,0
"227",7,4,0.55,0.75,1,1,0.05,0.25,19,0,1,0.55,0.75,0.7,0,0,1,"Platinum",5,"121-150",19,0.55,0.75,0.125661346855074,0.674489750196082,3,5,0,1,0.444333333333333,0
"228",1,1,0.7,0.55,0,0,0.2,0.05,19,1,1,0.7,0.6,0.65,0,-0.0499999999999999,1,"Platinum",5,"121-150",19,0.7,0.55,0.524400512708041,0.125661346855074,3,5,99,99,0,0
"229",12,6,0.62,0.21,1,0,0.12,0.29,20,1,0,0.74,0.13,0.23,-0.12,0.08,3,"Gold",4,"91-120",20,0.62,0.21,0.305480788099397,-0.80642124701824,2,4,1,99,0,0
"230",6,3,0.61,0.66,1,1,0.11,0.16,20,0,1,0.46,0.69,0.56,0.15,-0.0299999999999999,3,"Gold",4,"91-120",20,0.61,0.66,0.279319034447454,0.412463129441405,2,4,0,1,0.0186666666666667,0
"231",9,5,0.37,0.38,0,0,0.13,0.12,20,1,0,0.61,0.39,0.4,-0.24,-0.01,2,"Gold",4,"91-120",20,0.37,0.38,-0.331853346436817,-0.305480788099397,2,4,99,99,0,0
"232",5,3,0.32,0.47,0,0,0.18,0.03,20,0,1,0.33,0.74,0.55,-0.01,-0.27,3,"Gold",5,"91-120",20,0.32,0.47,-0.467698799114508,-0.0752698620998299,2,4,99,99,0,0
"233",8,4,0.33,0.59,0,1,0.17,0.09,20,0,1,0.44,0.68,0.54,-0.11,-0.0900000000000001,1,"Gold",5,"91-120",20,0.33,0.59,-0.439913165673234,0.227544976641149,2,4,99,1,0,0
"234",2,1,0.34,0.34,0,0,0.16,0.16,20,1,0,0.64,0.36,0.51,-0.3,-0.02,1,"Gold",5,"91-120",20,0.34,0.34,-0.412463129441405,-0.412463129441405,2,4,99,99,0,0
